Area,Demand,Supply,Date,,,
Dhaka,3813.22,3813.22,12/14/24,,,
Chittagong ,977.4,977.4,12/14/24,,,
Khulna ,1081,1081,12/14/24,,,
Rajshahi ,946,946,12/14/24,,,
Comilla,847,847,12/14/24,,,
Mymensingh,807,807,12/14/24,,,
Sylhet ,367,367,12/14/24,,,
Barisal ,295.5,295.5,12/14/24,,,
Rangpur ,737,737,12/14/24,,,
Dhaka,3014.31,3014.31,12/13/24,,,
Chittagong ,873.5,873.5,12/13/24,,,
Khulna ,1057.2,1057.2,12/13/24,,,
Rajshahi ,882,882,12/13/24,,,
Comilla,759,759,12/13/24,,,
Mymensingh,781,781,12/13/24,,,
Sylhet ,328,328,12/13/24,,,
Barisal ,263,263,12/13/24,,,
Rangpur ,661,661,12/13/24,,,
Dhaka,3902.69,3902.69,12/12/24,,,
Chittagong ,974,974,12/12/24,,,
Khulna ,1159.8,1159.8,12/12/24,,,
Rajshahi ,954.6,954.6,12/12/24,,,
Comilla,900,900,12/12/24,,,
Mymensingh,823,823,12/12/24,,,
Sylhet ,362,362,12/12/24,,,
Barisal ,291.7,291.7,12/12/24,,,
Rangpur ,695,695,12/12/24,,,
Dhaka,3842,3842,12/11/24,,,
Chittagong ,962.2,962.2,12/11/24,,,
Khulna ,1140,1140,12/11/24,,,
Rajshahi ,980.4,980.4,12/11/24,,,
Comilla,840,840,12/11/24,,,
Mymensingh,844,844,12/11/24,,,
Sylhet ,354,354,12/11/24,,,
Barisal ,290,290,12/11/24,,,
Rangpur ,725,725,12/11/24,,,
Dhaka,3954.04,3954.04,12/10/24,,,
Chittagong ,991.5,991.5,12/10/24,,,
Khulna ,1172,1172,12/10/24,,,
Rajshahi ,967.6,967.6,12/10/24,,,
Comilla,869,869,12/10/24,,,
Mymensingh,878,878,12/10/24,,,
Sylhet ,372,372,12/10/24,,,
Barisal ,289.5,289.5,12/10/24,,,
Rangpur ,731,731,12/10/24,,,
Dhaka,3908.6,3908.6,12/9/24,,,
Chittagong ,1049.5,1049.5,12/9/24,,,
Khulna ,1134.7,1134.7,12/9/24,,,
Rajshahi ,917.6,917.6,12/9/24,,,
Comilla,846,846,12/9/24,,,
Mymensingh,842,842,12/9/24,,,
Sylhet ,363,363,12/9/24,,,
Barisal ,298.5,298.5,12/9/24,,,
Rangpur ,700,700,12/9/24,,,
Dhaka,3885.82,3885.82,12/8/24,,,
Chittagong ,965,965,12/8/24,,,
Khulna ,1157,1157,12/8/24,,,
Rajshahi ,983,983,12/8/24,,,
Comilla,847,847,12/8/24,,,
Mymensingh,825,825,12/8/24,,,
Sylhet ,347,347,12/8/24,,,
Barisal ,297,297,12/8/24,,,
Rangpur ,729,729,12/8/24,,,
Dhaka,3706.48,3706.48,12/7/24,,,
Chittagong ,948.1,948.1,12/7/24,,,
Khulna ,1183,1183,12/7/24,,,
Rajshahi ,966,966,12/7/24,,,
Comilla,845,845,12/7/24,,,
Mymensingh,855,855,12/7/24,,,
Sylhet ,374,374,12/7/24,,,
Barisal ,298,298,12/7/24,,,
Rangpur ,696,696,12/7/24,,,
Dhaka,3049.8,3049.8,12/6/24,,,
Chittagong ,954.9,954.9,12/6/24,,,
Khulna ,1061,1061,12/6/24,,,
Rajshahi ,884.4,884.4,12/6/24,,,
Comilla,772,772,12/6/24,,,
Mymensingh,757,757,12/6/24,,,
Sylhet ,347,347,12/6/24,,,
Barisal ,273.7,273.7,12/6/24,,,
Rangpur ,655,655,12/6/24,,,
Dhaka,4134.49,4134.49,12/5/24,,,
Chittagong ,1113,1113,12/5/24,,,
Khulna ,1176,1176,12/5/24,,,
Rajshahi ,984.2,984.2,12/5/24,,,
Comilla,873,873,12/5/24,,,
Mymensingh,842,842,12/5/24,,,
Sylhet ,383,383,12/5/24,,,
Barisal ,272,272,12/5/24,,,
Rangpur ,718,718,12/5/24,,,
Dhaka,4171.09,4171.09,12/4/24,,,
Chittagong ,1138.5,1138.5,12/4/24,,,
Khulna ,1162,1162,12/4/24,,,
Rajshahi ,956,956,12/4/24,,,
Comilla,897,897,12/4/24,,,
Mymensingh,802,802,12/4/24,,,
Sylhet ,371,371,12/4/24,,,
Barisal ,294.4,294.4,12/4/24,,,
Rangpur ,728,728,12/4/24,,,
Dhaka,4236.38,4236.38,12/3/24,,,
Chittagong ,1146.2,1146.2,12/3/24,,,
Khulna ,1166.2,1166.2,12/3/24,,,
Rajshahi ,993.4,993.4,12/3/24,,,
Comilla,922.5,922.5,12/3/24,,,
Mymensingh,857,857,12/3/24,,,
Sylhet ,385,385,12/3/24,,,
Barisal ,300,300,12/3/24,,,
Rangpur ,726,726,12/3/24,,,
Dhaka,4118.09,4118.09,12/2/24,,,
Chittagong ,1132.2,1132.2,12/2/24,,,
Khulna ,1120,1120,12/2/24,,,
Rajshahi ,975,975,12/2/24,,,
Comilla,905,905,12/2/24,,,
Mymensingh,850,850,12/2/24,,,
Sylhet ,399,399,12/2/24,,,
Barisal ,282,282,12/2/24,,,
Rangpur ,702,702,12/2/24,,,
Dhaka,4153.07,4153.07,12/1/24,,,
Chittagong ,1181.6,1181.6,12/1/24,,,
Khulna ,1131,1131,12/1/24,,,
Rajshahi ,989.6,989.6,12/1/24,,,
Comilla,898,898,12/1/24,,,
Mymensingh,862,862,12/1/24,,,
Sylhet ,388,388,12/1/24,,,
Barisal ,304.3,304.3,12/1/24,,,
Rangpur ,731,731,12/1/24,,,
Dhaka,4053.03,4053.03,11/30/24,,,
Chittagong ,1171,1171,11/30/24,,,
Khulna ,1145.5,1145.5,11/30/24,,,
Rajshahi ,952.8,952.8,11/30/24,,,
Comilla,952,952,11/30/24,,,
Mymensingh,859,859,11/30/24,,,
Sylhet ,415,415,11/30/24,,,
Barisal ,313,313,11/30/24,,,
Rangpur ,740,740,11/30/24,,,
Dhaka,3324.39,3324.39,11/29/24,,,
Chittagong ,1047.6,1047.6,11/29/24,,,
Khulna ,1035,1035,11/29/24,,,
Rajshahi ,840.4,840.4,11/29/24,,,
Comilla,827,827,11/29/24,,,
Mymensingh,738,738,11/29/24,,,
Sylhet ,360,360,11/29/24,,,
Barisal ,281.8,281.8,11/29/24,,,
Rangpur ,575,575,11/29/24,,,
Dhaka,4215.18,4215.18,11/28/24,,,
Chittagong ,1074.7,1074.7,11/28/24,,,
Khulna ,1170.8,1170.8,11/28/24,,,
Rajshahi ,945.2,945.2,11/28/24,,,
Comilla,921,921,11/28/24,,,
Mymensingh,840,840,11/28/24,,,
Sylhet ,394,394,11/28/24,,,
Barisal ,281,281,11/28/24,,,
Rangpur ,682,682,11/28/24,,,
Dhaka,4236.13,4236.13,11/27/24,,,
Chittagong ,989.5,989.5,11/27/24,,,
Khulna ,1152.8,1152.8,11/27/24,,,
Rajshahi ,954.2,954.2,11/27/24,,,
Comilla,909.5,909.5,11/27/24,,,
Mymensingh,849,849,11/27/24,,,
Sylhet ,390,390,11/27/24,,,
Barisal ,291,291,11/27/24,,,
Rangpur ,667,667,11/27/24,,,
Dhaka,4102.53,4102.53,11/26/24,,,
Chittagong ,1042.5,1042.5,11/26/24,,,
Khulna ,1159,1159,11/26/24,,,
Rajshahi ,957.2,957.2,11/26/24,,,
Comilla,923,923,11/26/24,,,
Mymensingh,845,845,11/26/24,,,
Sylhet ,404,404,11/26/24,,,
Barisal ,283.7,283.7,11/26/24,,,
Rangpur ,723,723,11/26/24,,,
Dhaka,4038.4,4038.4,11/25/24,,,
Chittagong ,1093.5,1093.5,11/25/24,,,
Khulna ,1133,1133,11/25/24,,,
Rajshahi ,952.6,952.6,11/25/24,,,
Comilla,910,910,11/25/24,,,
Mymensingh,809,809,11/25/24,,,
Sylhet ,379,379,11/25/24,,,
Barisal ,287,287,11/25/24,,,
Rangpur ,711,711,11/25/24,,,
Dhaka,4017.2,4017.2,11/24/24,,,
Chittagong ,1158.9,1158.9,11/24/24,,,
Khulna ,1135.6,1135.6,11/24/24,,,
Rajshahi ,952.4,952.4,11/24/24,,,
Comilla,916,916,11/24/24,,,
Mymensingh,834,834,11/24/24,,,
Sylhet ,377,377,11/24/24,,,
Barisal ,293.9,293.9,11/24/24,,,
Rangpur ,710,710,11/24/24,,,
Dhaka,3957.09,3957.09,11/23/24,,,
Chittagong ,1016.5,1016.5,11/23/24,,,
Khulna ,1098.4,1098.4,11/23/24,,,
Rajshahi ,921,921,11/23/24,,,
Comilla,931,931,11/23/24,,,
Mymensingh,803,803,11/23/24,,,
Sylhet ,380,380,11/23/24,,,
Barisal ,301,301,11/23/24,,,
Rangpur ,647,647,11/23/24,,,
Dhaka,3233.76,3233.76,11/22/24,,,
Chittagong ,912,912,11/22/24,,,
Khulna ,1050.9,1050.9,11/22/24,,,
Rajshahi ,863.8,863.8,11/22/24,,,
Comilla,815,815,11/22/24,,,
Mymensingh,772,772,11/22/24,,,
Sylhet ,348,348,11/22/24,,,
Barisal ,267,267,11/22/24,,,
Rangpur ,626,626,11/22/24,,,
Dhaka,4249.34,4249.34,11/21/24,,,
Chittagong ,1131,1131,11/21/24,,,
Khulna ,1187,1187,11/21/24,,,
Rajshahi ,973,973,11/21/24,,,
Comilla,945,945,11/21/24,,,
Mymensingh,850,850,11/21/24,,,
Sylhet ,419,419,11/21/24,,,
Barisal ,296.5,296.5,11/21/24,,,
Rangpur ,707,707,11/21/24,,,
Dhaka,4239.64,4239.64,11/20/24,,,
Chittagong ,1122.5,1122.5,11/20/24,,,
Khulna ,1175,1175,11/20/24,,,
Rajshahi ,984.6,984.6,11/20/24,,,
Comilla,981,981,11/20/24,,,
Mymensingh,851,851,11/20/24,,,
Sylhet ,444,444,11/20/24,,,
Barisal ,301,301,11/20/24,,,
Rangpur ,733,733,11/20/24,,,
Dhaka,4299.81,4299.81,11/19/24,,,
Chittagong ,1111,1111,11/19/24,,,
Khulna ,1191,1191,11/19/24,,,
Rajshahi ,957.4,957.4,11/19/24,,,
Comilla,960,960,11/19/24,,,
Mymensingh,867,867,11/19/24,,,
Sylhet ,423,423,11/19/24,,,
Barisal ,298.8,298.8,11/19/24,,,
Rangpur ,736,736,11/19/24,,,
Dhaka,4262.71,4262.71,11/18/24,,,
Chittagong ,1096.5,1096.5,11/18/24,,,
Khulna ,1144.4,1144.4,11/18/24,,,
Rajshahi ,962.4,962.4,11/18/24,,,
Comilla,955,955,11/18/24,,,
Mymensingh,890,890,11/18/24,,,
Sylhet ,426,426,11/18/24,,,
Barisal ,293,293,11/18/24,,,
Rangpur ,729,729,11/18/24,,,
Dhaka,4238.96,4238.96,11/17/24,,,
Chittagong ,1141.5,1141.5,11/17/24,,,
Khulna ,1176,1176,11/17/24,,,
Rajshahi ,946.6,946.6,11/17/24,,,
Comilla,1001,1001,11/17/24,,,
Mymensingh,871,871,11/17/24,,,
Sylhet ,424,424,11/17/24,,,
Barisal ,303.5,303.5,11/17/24,,,
Rangpur ,714,714,11/17/24,,,
Dhaka,4269.8,4269.8,11/16/24,,,
Chittagong ,1126.2,1126.2,11/16/24,,,
Khulna ,1204,1204,11/16/24,,,
Rajshahi ,981.4,981.4,11/16/24,,,
Comilla,1050,1050,11/16/24,,,
Mymensingh,922,922,11/16/24,,,
Sylhet ,447,447,11/16/24,,,
Barisal ,334.6,334.6,11/16/24,,,
Rangpur ,682,682,11/16/24,,,
Dhaka,3659.36,3659.36,11/15/24,,,
Chittagong ,1083.7,1083.7,11/15/24,,,
Khulna ,1138,1138,11/15/24,,,
Rajshahi ,928.2,928.2,11/15/24,,,
Comilla,970,970,11/15/24,,,
Mymensingh,872,872,11/15/24,,,
Sylhet ,430,430,11/15/24,,,
Barisal ,286.5,286.5,11/15/24,,,
Rangpur ,663,663,11/15/24,,,
Dhaka,4787.47,4787.47,11/14/24,,,
Chittagong ,1281.5,1281.5,11/14/24,,,
Khulna ,1283,1283,11/14/24,,,
Rajshahi ,1041.8,1041.8,11/14/24,,,
Comilla,1100,1100,11/14/24,,,
Mymensingh,866,866,11/14/24,,,
Sylhet ,457,457,11/14/24,,,
Barisal ,337.4,337.4,11/14/24,,,
Rangpur ,723,723,11/14/24,,,
Dhaka,4779.58,4779.58,11/13/24,,,
Chittagong ,1227.2,1227.2,11/13/24,,,
Khulna ,1330,1330,11/13/24,,,
Rajshahi ,1094.4,1094.4,11/13/24,,,
Comilla,1115,1115,11/13/24,,,
Mymensingh,964,964,11/13/24,,,
Sylhet ,484,484,11/13/24,,,
Barisal ,329,329,11/13/24,,,
Rangpur ,724,724,11/13/24,,,
Dhaka,4689.88,4689.88,11/12/24,,,
Chittagong ,1256.3,1256.3,11/12/24,,,
Khulna ,1308.4,1308.4,11/12/24,,,
Rajshahi ,1070.2,1070.2,11/12/24,,,
Comilla,1175,1175,11/12/24,,,
Mymensingh,915,915,11/12/24,,,
Sylhet ,472,472,11/12/24,,,
Barisal ,358,358,11/12/24,,,
Rangpur ,690,690,11/12/24,,,
Dhaka,4516.29,4516.29,11/11/24,,,
Chittagong ,1325.2,1325.2,11/11/24,,,
Khulna ,1337.2,1337.2,11/11/24,,,
Rajshahi ,1061,1061,11/11/24,,,
Comilla,1265,1228,11/11/24,,,
Mymensingh,902,902,11/11/24,,,
Sylhet ,466,466,11/11/24,,,
Barisal ,370.6,363.6,11/11/24,,,
Rangpur ,643,643,11/11/24,,,
Dhaka,4575.82,4575.82,11/10/24,,,
Chittagong ,1155,1155,11/10/24,,,
Khulna ,1339,1339,11/10/24,,,
Rajshahi ,1088.4,1088.4,11/10/24,,,
Comilla,1139,1139,11/10/24,,,
Mymensingh,908,908,11/10/24,,,
Sylhet ,458,458,11/10/24,,,
Barisal ,353,353,11/10/24,,,
Rangpur ,662,662,11/10/24,,,
Dhaka,4616.74,4616.74,11/9/24,,,
Chittagong ,1119,1119,11/9/24,,,
Khulna ,1333,1333,11/9/24,,,
Rajshahi ,1127.6,1127.6,11/9/24,,,
Comilla,1137,1137,11/9/24,,,
Mymensingh,942,942,11/9/24,,,
Sylhet ,462,462,11/9/24,,,
Barisal ,354.1,354.1,11/9/24,,,
Rangpur ,674,674,11/9/24,,,
Dhaka,3809.58,3809.58,11/8/24,,,
Chittagong ,1032.1,1032.1,11/8/24,,,
Khulna ,1342,1342,11/8/24,,,
Rajshahi ,1053.6,1053.6,11/8/24,,,
Comilla,1043,1043,11/8/24,,,
Mymensingh,968,968,11/8/24,,,
Sylhet ,433,433,11/8/24,,,
Barisal ,330.5,330.5,11/8/24,,,
Rangpur ,682,682,11/8/24,,,
Dhaka,4849.03,4849.03,11/7/24,,,
Chittagong ,1140.7,1140.7,11/7/24,,,
Khulna ,1456.2,1456.2,11/7/24,,,
Rajshahi ,1163.2,1163.2,11/7/24,,,
Comilla,1082,1082,11/7/24,,,
Mymensingh,1011,1011,11/7/24,,,
Sylhet ,496,496,11/7/24,,,
Barisal ,351,351,11/7/24,,,
Rangpur ,770,770,11/7/24,,,
Dhaka,4830.21,4813.21,11/6/24,,,
Chittagong ,1250,1250,11/6/24,,,
Khulna ,1454,1454,11/6/24,,,
Rajshahi ,1199.4,1199.4,11/6/24,,,
Comilla,1120,1120,11/6/24,,,
Mymensingh,1000,975,11/6/24,,,
Sylhet ,477,477,11/6/24,,,
Barisal ,347.7,347.7,11/6/24,,,
Rangpur ,774,774,11/6/24,,,
Dhaka,5005.04,5005.04,11/5/24,,,
Chittagong ,1180,1180,11/5/24,,,
Khulna ,1508,1508,11/5/24,,,
Rajshahi ,1163.2,1163.2,11/5/24,,,
Comilla,1072,1072,11/5/24,,,
Mymensingh,1029,962,11/5/24,,,
Sylhet ,460,460,11/5/24,,,
Barisal ,369.5,369.5,11/5/24,,,
Rangpur ,788,788,11/5/24,,,
Dhaka,4952.54,4932.54,11/4/24,,,
Chittagong ,1232,1232,11/4/24,,,
Khulna ,1481.6,1481.6,11/4/24,,,
Rajshahi ,1173.8,1173.8,11/4/24,,,
Comilla,1266,1266,11/4/24,,,
Mymensingh,1028,983,11/4/24,,,
Sylhet ,555,555,11/4/24,,,
Barisal ,420.2,420.2,11/4/24,,,
Rangpur ,717,680,11/4/24,,,
Dhaka,4968.94,4968.94,11/3/24,,,
Chittagong ,1239.5,1239.5,11/3/24,,,
Khulna ,1491.2,1346.2,11/3/24,,,
Rajshahi ,1165.4,1115.4,11/3/24,,,
Comilla,1239,1139,11/3/24,,,
Mymensingh,1054,1013,11/3/24,,,
Sylhet ,549,542,11/3/24,,,
Barisal ,420,420,11/3/24,,,
Rangpur ,753,753,11/3/24,,,
Dhaka,4791.19,4791.19,11/2/24,,,
Chittagong ,1147.9,1147.9,11/2/24,,,
Khulna ,1515,1515,11/2/24,,,
Rajshahi ,1194.2,1194.2,11/2/24,,,
Comilla,1302,1302,11/2/24,,,
Mymensingh,1051,1051,11/2/24,,,
Sylhet ,524,524,11/2/24,,,
Barisal ,419.5,419.5,11/2/24,,,
Rangpur ,678,678,11/2/24,,,
Dhaka,4283.77,4283.77,11/1/24,,,
Chittagong ,1119.5,1119.5,11/1/24,,,
Khulna ,1480,1480,11/1/24,,,
Rajshahi ,1137.6,1137.6,11/1/24,,,
Comilla,1250,1250,11/1/24,,,
Mymensingh,1008,1008,11/1/24,,,
Sylhet ,527,527,11/1/24,,,
Barisal ,417,417,11/1/24,,,
Rangpur ,663,663,11/1/24,,,
Dhaka,5032.16,4874.16,10/31/24,,,
Chittagong ,1297.6,1073.6,10/31/24,,,
Khulna ,1571.6,1334.6,10/31/24,,,
Rajshahi ,1288.2,1124.2,10/31/24,,,
Comilla,1316,1162,10/31/24,,,
Mymensingh,1092,956,10/31/24,,,
Sylhet ,563,485,10/31/24,,,
Barisal ,443.4,374.4,10/31/24,,,
Rangpur ,787,706,10/31/24,,,
Dhaka,5149.73,5064.73,10/30/24,,,
Chittagong ,1273.3,1178.3,10/30/24,,,
Khulna ,1563.4,1413.4,10/30/24,,,
Rajshahi ,1223.4,1083.4,10/30/24,,,
Comilla,1287,1127,10/30/24,,,
Mymensingh,1070,960,10/30/24,,,
Sylhet ,546,473,10/30/24,,,
Barisal ,424,394,10/30/24,,,
Rangpur ,793,713,10/30/24,,,
Dhaka,5199.82,5029.82,10/29/24,,,
Chittagong ,1228.5,1198.5,10/29/24,,,
Khulna ,1582.8,1462.8,10/29/24,,,
Rajshahi ,1241.8,1191.8,10/29/24,,,
Comilla,1279,1154,10/29/24,,,
Mymensingh,1057,927,10/29/24,,,
Sylhet ,574,514,10/29/24,,,
Barisal ,432,390,10/29/24,,,
Rangpur ,775,715,10/29/24,,,
Dhaka,5110.68,5080.68,10/28/24,,,
Chittagong ,1215,1215,10/28/24,,,
Khulna ,1610.4,1486.4,10/28/24,,,
Rajshahi ,1218.4,1153.4,10/28/24,,,
Comilla,1346,1281,10/28/24,,,
Mymensingh,1112,947,10/28/24,,,
Sylhet ,572,527,10/28/24,,,
Barisal ,405,390,10/28/24,,,
Rangpur ,768,708,10/28/24,,,
Dhaka,5096.44,4972.44,10/27/24,,,
Chittagong ,1263,1263,10/27/24,,,
Khulna ,1580,1580,10/27/24,,,
Rajshahi ,1216.2,1216.2,10/27/24,,,
Comilla,1367,1367,10/27/24,,,
Mymensingh,1104,1054,10/27/24,,,
Sylhet ,578,578,10/27/24,,,
Barisal ,438.5,438.5,10/27/24,,,
Rangpur ,726,726,10/27/24,,,
Dhaka,4886.75,4847.75,10/26/24,,,
Chittagong ,1368.5,1368.5,10/26/24,,,
Khulna ,1534,1534,10/26/24,,,
Rajshahi ,1069.4,1069.4,10/26/24,,,
Comilla,1320,1305,10/26/24,,,
Mymensingh,1103,981,10/26/24,,,
Sylhet ,579,579,10/26/24,,,
Barisal ,410.5,410.5,10/26/24,,,
Rangpur ,630,630,10/26/24,,,
Dhaka,3962.22,3962.22,10/25/24,,,
Chittagong ,1180.3,1180.3,10/25/24,,,
Khulna ,1205.2,1205.2,10/25/24,,,
Rajshahi ,893.4,893.4,10/25/24,,,
Comilla,1190,1190,10/25/24,,,
Mymensingh,943,943,10/25/24,,,
Sylhet ,536,536,10/25/24,,,
Barisal ,373.9,373.9,10/25/24,,,
Rangpur ,533,533,10/25/24,,,
Dhaka,4420.82,4420.82,10/24/24,,,
Chittagong ,1280,1280,10/24/24,,,
Khulna ,1208.2,1208.2,10/24/24,,,
Rajshahi ,1004,1004,10/24/24,,,
Comilla,935,935,10/24/24,,,
Mymensingh,816,816,10/24/24,,,
Sylhet ,442,442,10/24/24,,,
Barisal ,261,261,10/24/24,,,
Rangpur ,698,698,10/24/24,,,
Dhaka,5086.62,5086.62,10/23/24,,,
Chittagong ,1294.7,1294.7,10/23/24,,,
Khulna ,1448,1448,10/23/24,,,
Rajshahi ,1067.8,1067.8,10/23/24,,,
Comilla,1309,1309,10/23/24,,,
Mymensingh,1081,1044,10/23/24,,,
Sylhet ,540,540,10/23/24,,,
Barisal ,403.5,403.5,10/23/24,,,
Rangpur ,755,755,10/23/24,,,
Dhaka,5094.51,5060.51,10/22/24,,,
Chittagong ,1283.1,1283.1,10/22/24,,,
Khulna ,1586,1586,10/22/24,,,
Rajshahi ,1323.6,1323.6,10/22/24,,,
Comilla,1388,1388,10/22/24,,,
Mymensingh,1167,1052,10/22/24,,,
Sylhet ,610,610,10/22/24,,,
Barisal ,447.6,447.6,10/22/24,,,
Rangpur ,769,769,10/22/24,,,
Dhaka,5061.8,5029.8,10/21/24,,,
Chittagong ,1329.5,1329.5,10/21/24,,,
Khulna ,1533,1533,10/21/24,,,
Rajshahi ,1296.4,1296.4,10/21/24,,,
Comilla,1272,1272,10/21/24,,,
Mymensingh,1112,1034,10/21/24,,,
Sylhet ,570,570,10/21/24,,,
